productId,product,quantity (sq2),year,weekNumber
P0122,Product 122,650.8039764069346,2024,38
P0123,Product 123,759.0060079387466,2024,2
P0124,Product 124,533.1059135104495,2024,29
P0125,Product 125,700.3929729712371,2024,1
P0126,Product 126,998.6931784467716,2024,46
P0127,Product 127,210.1541492486888,2024,40
P0128,Product 128,977.1699161807884,2024,12
P0129,Product 129,285.0743053862297,2024,43
P0130,Product 130,148.2809912387064,2024,8
P0131,Product 131,492.7460191119226,2024,5
P0132,Product 132,447.7575528221543,2024,42
P0133,Product 133,171.9877059583332,2024,38
P0134,Product 134,669.9947597920069,2024,32
P0135,Product 135,795.1243533669319,2024,48
P0136,Product 136,519.8621772955482,2024,16
P0137,Product 137,182.5751216545042,2024,51
P0138,Product 138,186.9048663954737,2024,19
P0139,Product 139,166.6564542091887,2024,33
P0140,Product 140,5.549848911028748,2024,23
P0141,Product 141,933.01740809049,2024,38
P0142,Product 142,625.4962663907992,2024,5
P0143,Product 143,524.9713530710848,2024,34
P0144,Product 144,505.7711258673929,2024,46
P0145,Product 145,723.3543244103372,2024,42
P0146,Product 146,392.5987880942578,2024,51
P0147,Product 147,934.1773593880968,2024,12
P0148,Product 148,225.588281984491,2024,24
P0149,Product 149,199.9424097109864,2024,43
P0150,Product 150,612.6485652483352,2024,1
P0151,Product 151,745.3278000254467,2024,35
P0152,Product 152,324.8982413441067,2024,41
P0153,Product 153,397.9728346938739,2024,11
P0154,Product 154,360.7241626637874,2024,8
P0155,Product 155,54.56975721999686,2024,17
P0156,Product 156,968.9400811513332,2024,13
P0157,Product 157,180.7443995407714,2024,50
P0158,Product 158,490.6776074350958,2024,21
P0159,Product 159,59.12862935882089,2024,4
P0160,Product 160,37.77982234234049,2024,31
P0161,Product 161,399.7058546784025,2024,35
P0162,Product 162,955.8917155081799,2024,12
P0163,Product 163,797.3203100645852,2024,9
P0164,Product 164,167.4550560034006,2024,14
P0165,Product 165,89.2301026743086,2024,39
P0166,Product 166,923.3567814884476,2024,36
P0167,Product 167,151.54293485662,2024,23
P0168,Product 168,231.7434832893755,2024,50
P0169,Product 169,112.6814108373949,2024,16
P0170,Product 170,951.1358785377679,2024,1
P0171,Product 171,235.7783921254383,2024,6
P0172,Product 172,626.7479834225916,2024,49
P0173,Product 173,791.8669587525336,2024,9
P0174,Product 174,440.0958208924823,2024,35
P0175,Product 175,144.3001842153856,2024,3
P0176,Product 176,475.1537616548596,2024,17
P0177,Product 177,267.1040517867,2024,13
P0178,Product 178,695.175921555019,2024,4
P0179,Product 179,541.0666387891638,2024,43
P0180,Product 180,189.2393540253267,2024,49
P0181,Product 181,851.4285456897742,2024,33
P0182,Product 182,854.9462516720486,2024,14
P0183,Product 183,73.783971765901,2024,44
P0184,Product 184,718.5692980600664,2024,39
P0185,Product 185,746.1628911683974,2024,10
P0186,Product 186,616.7583731620762,2024,24
P0187,Product 187,886.0907200261,2024,4
P0188,Product 188,543.151320778494,2024,38
P0189,Product 189,111.0049191124897,2024,32
P0190,Product 190,47.68732399856405,2024,46
P0191,Product 191,753.6595557092899,2024,12
P0192,Product 192,187.7513313680561,2024,12
P0193,Product 193,591.4365655468664,2024,47
P0194,Product 194,563.0716338218292,2024,17
P0195,Product 195,731.5632000758807,2024,4
P0196,Product 196,535.7392680582565,2024,49
P0197,Product 197,307.8279860413497,2024,15
P0198,Product 198,428.7114526860357,2024,6
P0199,Product 199,963.8192444477389,2024,30
P0200,Product 200,187.85107451889,2024,43
P0201,Product 201,573.8097692540366,2024,6
P0202,Product 202,265.7585483065101,2024,25
P0203,Product 203,680.9979750774231,2024,24
P0204,Product 204,426.2769861077131,2024,27
P0205,Product 205,572.0143338284329,2024,40
P0206,Product 206,854.0919040164616,2024,2
P0207,Product 207,916.1575793013752,2024,5
P0208,Product 208,652.3909833550314,2024,3
P0209,Product 209,731.8079181857253,2024,5
P0210,Product 210,299.780576389486,2024,28
P0211,Product 211,60.96444692911785,2024,45
P0212,Product 212,853.0716238379382,2024,23
P0213,Product 213,317.4829534588255,2024,42
P0214,Product 214,823.4124702849786,2024,20
P0215,Product 215,533.6361069384106,2024,4
P0216,Product 216,294.787703912692,2024,23
P0217,Product 217,276.0251160878242,2024,6
P0218,Product 218,345.5561930691584,2024,4
P0219,Product 219,332.5067548527047,2024,1
P0220,Product 220,619.203635230905,2024,13
P0221,Product 221,970.1969220211137,2024,1
P0222,Product 222,431.8143404483498,2024,40
P0223,Product 223,495.6463820705096,2024,40
P0224,Product 224,475.5455652933233,2024,21
P0225,Product 225,162.2684900873311,2024,36
P0226,Product 226,881.7530281035682,2024,21
P0227,Product 227,242.008410405592,2024,40
P0228,Product 228,790.5563159234371,2024,15
P0229,Product 229,575.1191309384844,2024,52
P0230,Product 230,223.9937509017009,2024,38
P0231,Product 231,580.2981483832679,2024,31
P0232,Product 232,263.0334799902258,2024,7
P0233,Product 233,18.14946211505901,2024,41
P0234,Product 234,821.2228594826067,2024,38
P0235,Product 235,810.2567959284365,2024,53
P0236,Product 236,737.0913028125243,2024,42
P0237,Product 237,663.3120179875136,2024,7
P0238,Product 238,56.54013720722524,2024,41
P0239,Product 239,798.0042293902853,2024,35
P0240,Product 240,73.31386458659966,2024,16
P0241,Product 241,350.1757056665497,2024,46
P0242,Product 242,184.9986668688288,2024,15
P0243,Product 243,16.55048725759974,2024,42
P0244,Product 244,229.7215920798051,2024,25
P0245,Product 245,913.1542087415874,2024,22
P0246,Product 246,894.9217785301804,2024,23
P0247,Product 247,616.7858455150305,2024,13
P0248,Product 248,424.9388441066407,2024,49
P0249,Product 249,81.9405857873978,2024,2
P0250,Product 250,236.1465200843519,2024,10
P0251,Product 251,454.7350692811367,2024,10
P0252,Product 252,393.0543658064487,2024,14
P0253,Product 253,140.2119357586368,2024,21
P0254,Product 254,693.8083607862444,2024,37
P0255,Product 255,994.6012293407318,2024,2
P0256,Product 256,123.5978240135915,2024,20
P0257,Product 257,525.1546493068042,2024,7
P0258,Product 258,536.1745711541466,2024,37
P0259,Product 259,84.30362777720728,2024,1
P0260,Product 260,834.2324819005237,2024,7
P0261,Product 261,350.8113285423233,2024,1
P0262,Product 262,50.7601048470293,2024,38
P0263,Product 263,473.8307953365967,2024,8
P0264,Product 264,213.1404226997461,2024,39
P0265,Product 265,396.3063471009613,2024,23
P0266,Product 266,416.8122906468844,2024,14
P0267,Product 267,156.7533758576074,2024,15
P0268,Product 268,883.043143925324,2024,42
P0269,Product 269,216.8463418881829,2024,23
P0270,Product 270,777.2363159929802,2024,43
P0271,Product 271,178.7452010039929,2024,5
P0272,Product 272,811.7746168496375,2024,5
P0273,Product 273,136.8045061844011,2024,3
P0274,Product 274,178.1685008075343,2024,38
P0275,Product 275,282.2663603047825,2024,9
P0276,Product 276,108.2767769993322,2024,39
P0277,Product 277,541.8566985820464,2024,9
P0278,Product 278,974.8363791027862,2024,35
P0279,Product 279,117.1898506319101,2024,16
P0280,Product 280,698.8888010443544,2024,11
P0281,Product 281,864.0197436109199,2024,49
P0282,Product 282,885.416337880031,2024,38
P0283,Product 283,927.9197069050459,2024,17
P0284,Product 284,618.2717766681475,2024,35
P0285,Product 285,874.6766229183274,2024,1
P0286,Product 286,90.36794817329206,2024,46
P0287,Product 287,892.461047424353,2024,41
P0288,Product 288,628.3895232595013,2024,52
P0289,Product 289,85.48855782798731,2024,9
P0290,Product 290,993.571126448418,2024,4
P0291,Product 291,919.1927693191649,2024,39
P0292,Product 292,117.7679673594642,2024,50
P0293,Product 293,176.8628704395313,2024,26
P0294,Product 294,215.6672618830414,2024,25
P0295,Product 295,412.9553277063213,2024,25
P0296,Product 296,248.8111523030645,2024,13
P0297,Product 297,750.5730836719116,2024,1
P0298,Product 298,814.6228215336489,2024,35
P0299,Product 299,625.0627954261631,2024,2
P0300,Product 300,485.3357204054351,2024,33
P0301,Product 301,316.0868557838789,2024,18
P0302,Product 302,143.6604120085683,2024,6
P0303,Product 303,36.13735099944066,2024,26
P0304,Product 304,167.7184108735224,2024,33
P0305,Product 305,459.6156967585787,2024,27
P0306,Product 306,474.8285522854704,2024,7
P0307,Product 307,815.0991982550898,2024,1
P0308,Product 308,170.3607365310506,2024,40
P0309,Product 309,993.9314270584347,2024,11
P0310,Product 310,778.9618309670676,2024,14
P0311,Product 311,40.64800621390897,2024,9
P0312,Product 312,112.0720744457533,2024,50
P0313,Product 313,70.79005951616917,2024,13
P0314,Product 314,506.9642868336869,2024,19
P0315,Product 315,425.8922951761176,2024,44
P0316,Product 316,502.4941381424717,2024,14
P0317,Product 317,912.1522887872676,2024,27
P0318,Product 318,577.8957141919785,2024,19
P0319,Product 319,982.3226991221527,2024,4
P0320,Product 320,270.5000731581558,2024,29
P0321,Product 321,339.6452334966453,2024,2
P0322,Product 322,625.525250741043,2024,48
P0323,Product 323,962.9919051131205,2024,3
P0324,Product 324,415.8874302208519,2024,46
P0325,Product 325,19.22085235659588,2024,49
P0326,Product 326,492.4721261935355,2024,50
P0327,Product 327,824.289635460944,2024,47
P0328,Product 328,213.3476636571707,2024,48
P0329,Product 329,709.2427796221268,2024,44
P0330,Product 330,204.6424344487258,2024,51
P0331,Product 331,984.6118977272889,2024,41
P0332,Product 332,908.0539744235309,2024,6
P0333,Product 333,814.5702811455517,2024,33
P0334,Product 334,551.0541200747064,2024,4
P0335,Product 335,320.1992067629495,2024,43
P0336,Product 336,485.7749321572405,2024,22
P0337,Product 337,114.9575399600405,2024,37
P0338,Product 338,924.5498995801437,2024,29
P0339,Product 339,516.2168827651205,2024,46
P0340,Product 340,342.5321886540369,2024,19
P0341,Product 341,205.5943886456614,2024,11
P0342,Product 342,943.7321644735239,2024,34
P0343,Product 343,18.83990376196047,2024,8
P0344,Product 344,548.3121044222348,2024,1
P0345,Product 345,81.12054780850454,2024,51
P0346,Product 346,389.4114208414065,2024,29
P0347,Product 347,432.8966115587216,2024,29
P0348,Product 348,901.0788317734336,2024,19
P0349,Product 349,344.9951931581138,2024,29
P0350,Product 350,632.1327395477551,2024,49
P0351,Product 351,873.6600826269047,2024,51
P0352,Product 352,977.3781787655067,2024,26
P0353,Product 353,893.2748191377034,2024,21
P0354,Product 354,933.5450594141648,2024,25
P0355,Product 355,738.3127194721054,2024,9
P0356,Product 356,663.1099282033817,2024,23
P0357,Product 357,27.28881683973517,2024,1
P0358,Product 358,813.2831036029781,2024,45
P0359,Product 359,987.5377513646858,2024,29
P0360,Product 360,612.680266546125,2024,19
P0361,Product 361,928.7498222086531,2024,46
P0362,Product 362,72.33673001677903,2024,27
P0363,Product 363,730.3284311267181,2024,9
P0364,Product 364,918.8527778640207,2024,1
P0365,Product 365,694.5696635791222,2024,19
P0366,Product 366,286.0616811229337,2024,46
P0367,Product 367,669.9572600427426,2024,10
P0368,Product 368,61.64237196836137,2024,51
P0369,Product 369,456.7370368563593,2024,22
P0370,Product 370,603.6876958979879,2024,26
P0371,Product 371,547.330789081827,2024,39
P0372,Product 372,769.1594469685657,2024,19
P0373,Product 373,250.6668431454014,2024,3
P0374,Product 374,724.8384505233265,2024,2
P0375,Product 375,202.7541464881628,2024,41
P0376,Product 376,12.38254222501129,2024,28
P0377,Product 377,192.9907782887187,2024,51
P0378,Product 378,953.619997490114,2024,2
P0379,Product 379,865.8194638213546,2024,52
P0380,Product 380,284.9078843845857,2024,26
P0381,Product 381,92.0468806672274,2024,12
P0382,Product 382,293.9381306368588,2024,1
P0383,Product 383,294.4612804452142,2024,11
P0384,Product 384,490.5278698259201,2024,49
P0385,Product 385,449.8546532523746,2024,2
P0386,Product 386,106.1290980686741,2024,9
P0387,Product 387,282.8779085691501,2024,15
P0388,Product 388,377.1402022106547,2024,22
P0389,Product 389,418.8381395308867,2024,18
P0390,Product 390,122.772824120013,2024,29
P0391,Product 391,471.3386361764457,2024,8
P0392,Product 392,10.59989970258336,2024,27
P0393,Product 393,983.2647044397968,2024,38
P0394,Product 394,295.3012972530121,2024,32
P0395,Product 395,810.4834825740716,2024,3
P0396,Product 396,269.9783076388338,2024,51
P0397,Product 397,811.3151145233502,2024,48
P0398,Product 398,141.2449840596872,2024,13
P0399,Product 399,381.669672379981,2024,36
P0400,Product 400,842.0186897166953,2024,9
P0401,Product 401,41.87221792668933,2024,47
P0402,Product 402,204.4691602594799,2024,22
P0403,Product 403,532.773847889978,2024,48
P0404,Product 404,474.7482094816869,2024,36
P0405,Product 405,847.8512708449364,2024,9
P0406,Product 406,542.3974129820016,2024,27
P0407,Product 407,205.0893946834597,2024,44
P0408,Product 408,948.7086253167217,2024,48
P0409,Product 409,730.1450266055672,2024,28
P0410,Product 410,721.6338875935086,2024,32
P0411,Product 411,730.0810540608609,2024,43
P0412,Product 412,735.869300847653,2024,33
P0413,Product 413,744.090537641896,2024,6
P0414,Product 414,397.3791785900585,2024,31
P0415,Product 415,271.5196728772488,2024,12
P0416,Product 416,487.6531476360172,2024,5
P0417,Product 417,102.7111196342146,2024,4
P0418,Product 418,947.9655745703444,2024,37
P0419,Product 419,787.9890944195187,2024,51
P0420,Product 420,580.0542187665469,2024,52
P0421,Product 421,724.6607350199274,2024,33
P0422,Product 422,974.4298402759435,2024,27
P0423,Product 423,140.421756172479,2024,13
P0424,Product 424,558.7985340024368,2024,52
P0425,Product 425,620.3284614495672,2024,45
P0426,Product 426,356.3847694804215,2024,41
P0427,Product 427,246.996807576225,2024,33
P0428,Product 428,302.0624619323892,2024,1
P0429,Product 429,349.7609790593311,2024,39
P0430,Product 430,569.3785055346069,2024,9
P0431,Product 431,17.38919774269775,2024,23
P0432,Product 432,417.4254665869205,2024,22
P0433,Product 433,530.6502844242099,2024,7
P0434,Product 434,756.8152648514451,2024,42
P0435,Product 435,458.1833217482744,2024,42
P0436,Product 436,162.2954873398427,2024,14
P0437,Product 437,91.84591892520532,2024,1
P0438,Product 438,484.3971155969196,2024,47
P0439,Product 439,408.554948998422,2024,51
P0440,Product 440,734.9877650344987,2024,16
P0441,Product 441,801.4885288395969,2024,3
P0442,Product 442,612.258894054211,2024,9
P0443,Product 443,503.2233550906828,2024,29
P0444,Product 444,788.309001532128,2024,20
P0445,Product 445,206.5763434486382,2024,20
P0446,Product 446,181.3333481432789,2024,44
P0447,Product 447,229.1831711294605,2024,32
P0448,Product 448,573.935024040357,2024,52
P0449,Product 449,705.3816519223607,2024,1
P0450,Product 450,838.08791168908,2024,13
P0451,Product 451,945.1447925744573,2024,19
P0452,Product 452,644.0361849521335,2024,41
P0453,Product 453,221.0378959092606,2024,39
P0454,Product 454,620.1723510146046,2024,26
P0455,Product 455,104.7831800019225,2024,46
P0456,Product 456,53.36915466038141,2024,22
P0457,Product 457,669.8928906062504,2024,51
P0458,Product 458,482.7054897501299,2024,36
P0459,Product 459,152.7557587306131,2024,45
P0460,Product 460,63.14693481129886,2024,10
P0461,Product 461,533.6907388183622,2024,25
P0462,Product 462,646.5123573447014,2024,22
P0463,Product 463,753.8819929932824,2024,45
P0464,Product 464,695.2316743723319,2024,15
P0465,Product 465,79.79997303747247,2024,17
P0466,Product 466,870.0638072488052,2024,5
P0467,Product 467,590.7568267808587,2024,32
P0468,Product 468,434.9015923416447,2024,47
P0469,Product 469,285.1021928074338,2024,13
P0470,Product 470,212.749519673164,2024,26
P0471,Product 471,823.6220624960004,2024,29
P0472,Product 472,828.1566647502681,2024,36
P0473,Product 473,37.73302789254834,2024,19
P0474,Product 474,473.4307497367682,2024,28
P0475,Product 475,783.3115138178892,2024,38
P0476,Product 476,182.2710201451778,2024,50
P0477,Product 477,496.7826477702053,2024,17
P0478,Product 478,941.6004616130548,2024,33
P0479,Product 479,185.1880579795971,2024,41
P0480,Product 480,816.8567706826525,2024,25
P0481,Product 481,212.4245529818108,2024,14
P0482,Product 482,928.9218414983937,2024,35
P0483,Product 483,332.4179582241374,2024,27
P0484,Product 484,191.6130346282502,2024,9
P0485,Product 485,155.8434796806714,2024,1
P0486,Product 486,163.8295140485261,2024,40
P0487,Product 487,969.4551684796662,2024,49
P0488,Product 488,281.8112392466712,2024,16
P0489,Product 489,610.0390940505391,2024,2
P0490,Product 490,94.69106790117496,2024,27
P0491,Product 491,44.3704714333514,2024,4
P0492,Product 492,748.7503138936387,2024,51
P0493,Product 493,691.0464497346857,2024,46
P0494,Product 494,321.7375081284613,2024,41
P0495,Product 495,799.2522690576033,2024,5
P0496,Product 496,731.6009232239954,2024,47
P0497,Product 497,188.5298077045752,2024,24
P0498,Product 498,89.24840157690483,2024,40
P0499,Product 499,665.9956243587487,2024,33
P0500,Product 500,334.6491733406198,2024,23
